day,header_negative,header_positive,answer_positive,answer_rehearsal,answer_mentaldiet,answer_trigger,answer_counter1,answer_counter2,answer_counter3,answer_umbrella
17,Don’t slow down – your peak is ahead.,You’re a sensation – truly remarkable!,"That was spot-on—keep it up, your thoughts make a difference.",Regularly opt for thoughts that empower you.,Break free from mental autopilot.,Refuse to let triggers unbalance you.,Counter 1/18,Counter2/18,Counter 3/18,Counter 4/18
18,Keep reaching – you can go beyond.,You’re dazzling – a true icon!,"Superb work! Keep the streak alive, every insight counts.",Choose beneficial ideas more consistently.,Challenge your mind’s usual routines.,Don’t let triggers cloud your judgment.,Counter 1/19,Counter2/19,Counter 3/19,Counter 4/19
19,Stay determined – you can top this.,You’re a marvel – pure talent!,"You crushed it! Keep up the great work, every thought is worth it.",Keep favoring thoughts that move you ahead.,Step away from the past in your thinking.,Stay steady—don’t let triggers sway you.,Counter 1/20,Counter2/20,Counter 3/20,Counter 4/20
20,Keep moving – your limits are higher than you think.,You’re flawless – like a headliner!,"That was just perfect! Keep progressing, every idea contributes.",Make positive thinking your default setting.,Pause before accepting familiar thoughts.,Don’t let your triggers prompt you to react.,Counter 1/21,Counter2/21,Counter 3/21,Counter 4/21
21,Don’t pause – you can break new ground.,You’re a force – pure star power!,"Nailed it! Keep the momentum, every positive thought is impactful.",Keep cultivating thoughts that help you grow.,Question the thoughts that no longer serve you.,Keep your cool—don’t let triggers win.,Counter 1/22,Counter2/22,Counter 3/22,Counter 4/22
22,Push onward – your progress isn’t finished.,You’re a standout – top of the charts!,"That was amazing! Keep up the excellence, every positive thought matters.",Stay intentional in picking the right thoughts.,Create space for new perspectives.,Don’t let triggers diminish your strength.,Counter 1/23,Counter2/23,Counter 3/23,Counter 4/23
23,Keep at it – you’re capable of better.,You’re golden – an absolute legend!,"Brilliant job! Keep up the energy, every positive thought adds up.",Keep reinforcing your mind with good choices.,Notice when you’re repeating old mental scripts.,Maintain your calm when triggers arise.,Counter 1/24,Counter2/24,Counter 3/24,Counter 4/24
24,Stay persistent – you can raise the bar.,You’re a dynamo – electrifying performance!,"That was right on target! Keep it up, every contribution matters.",Let your thoughts align with your goals more often.,Intervene when unwanted thoughts return.,Don’t allow triggers to undermine your stability.,Counter 1/25,Counter2/25,Counter 3/25,Counter 4/25
25,Keep grinding – there’s more inside you.,You’re an ace – superstar status!,"Exceptional! Keep the great days coming, every positive thought counts.",Keep choosing perspectives that lift you up.,Start to refresh your mindset.,Stop letting triggers hijack your focus.,Counter 1/26,Counter2/26,Counter 3/26,Counter 4/26
26,Don’t hold back – your best is still coming.,You’re a champ – a rockstar at heart!,"That was masterful! Keep the spirit high, every positive thought is important.",Make uplifting thoughts your daily decision.,Make room for new ideas by interrupting the old.,Don’t let your triggers break your stride.,Counter 1/27,Counter2/27,Counter 3/27,Counter 4/27
27,Keep elevating – you can accomplish more.,You’re a gem – keep rocking!,"Flawless delivery! Keep going strong, every positive thought is meaningful.",Keep returning to the thoughts that serve you best.,Stop letting habitual thoughts run the show.,Resist the urge to react to triggers.,Counter 1/28,Counter2/28,Counter 3/28,Counter 4/28
28,Stay driven – you haven’t reached your limit yet.,You’re a wizard – magical talent!,"That was exactly right! Keep up the good work, every idea helps.",Consistently steer your mind in a positive direction.,Reconsider your usual mental patterns.,Don’t let triggers disrupt your intentions.,Counter 1/29,Counter2/29,Counter 3/29,Counter 4/29
29,Keep striving – you can do even better!,You’re a prodigy – destined for greatness!,"Perfect! Keep shining bright, every thought is a building block.",Keep making empowering choices in your thinking.,Begin to replace old thoughts with fresh ones.,Don’t allow triggers to affect your mindset.,Counter 1/30,Counter2/30,Counter 3/30,Counter 4/30
30,Keep going - You can do better,"You’re a superstar – wow, just wow!","That was a home run—keep it up, every idea has value!",Keep guiding yourself towards the right thoughts every time.,Interrupt your old thinking and invite growth.,Stand firm—don’t let triggers throw you off.,Counter 1/31,Counter2/31,Counter 3/31,Counter 4/31
31,"Never hold back – you still can do this, really!",You’re amazing – you did so well!,"That was perfect! Keep it up, every positive thought is important.",Make uplifting thoughts your daily mantra.,Make room for new postive thoughts by interrupting the old.,"Don’t let your triggers break your progress, not now!",Counter 1/27,Counter2/27,Counter 3/27,Counter 4/27
